# runId=49 label=delaydbg samples=165 overflowed=false recording=false
t,dt,volts,loopHz,mode,p0_v,p0_wheel,p0_tgt,p0_err,p0_pwr,p0_flip,p1_v,p1_wheel,p1_tgt,p1_err,p1_pwr,p1_flip,p2_v,p2_wheel,p2_tgt,p2_err,p2_pwr,p2_flip,p3_v,p3_wheel,p3_tgt,p3_err,p3_pwr,p3_flip
0.00360354,0.0149616,12.707,224.841,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.00851754,0.00486675,12.707,222.904,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0132145,0.00498604,12.712,220.67,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0177619,0.00460775,12.712,220.305,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0223221,0.004564,12.707,220.185,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.026866,0.0045535,12.707,220.128,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0341031,0.00456108,12.712,220.04,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0390259,0.0072975,12.712,211.739,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0531425,0.0141937,12.712,197.611,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0578075,0.00475358,12.712,198.886,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0623688,0.004662,12.712,200.448,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0669276,0.00455875,12.712,202.339,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0718273,0.00457975,12.712,203.94,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0767235,0.0049805,12.712,203.624,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0812636,0.00478771,12.712,204.149,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0862272,0.00453833,12.712,205.768,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.0913337,0.0051065,12.712,204.775,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.115006,0.0168362,12.707,190.237,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,0,0,1.025,66.8322,,,0,0
0.119585,0.0117877,12.712,179.696,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.124291,0.00458208,12.712,183.551,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.129109,0.00477138,12.712,186.154,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.133724,0.00473579,12.712,188.654,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.138268,0.00461125,12.712,191.475,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.142782,0.00454183,12.712,194.345,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,0,0,1.025,66.8322,,,0,0
0.15686,0.0138139,12.712,182.15,0,1.896,275.334,,,0,0,2.279,173.569,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.161806,0.0047845,12.712,184.836,0,1.896,275.334,,,0,0,2.279,173.569,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.166445,0.00493792,12.712,186.603,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.17107,0.0046585,12.712,189.409,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.175832,0.00459813,12.712,192.216,0,1.894,275.561,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.180773,0.00479996,12.712,193.828,0,1.894,275.561,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.185422,0.00490263,12.712,194.843,0,1.897,275.221,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.190177,0.00465354,12.712,196.847,0,1.897,275.221,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,0,0,1.025,66.8322,,,0,0
0.194978,0.00482096,12.712,197.905,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,0,0,1.025,66.8322,,,0,0
0.217504,0.0185754,12.707,183.498,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,1,0,1.025,66.8322,,,0,0
0.221993,0.00869779,12.716,176.646,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,1,0,1.025,66.8322,,,0,0
0.226449,0.00446017,12.716,181.402,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,1,0,1.025,66.8322,,,0,0
0.231077,0.00448379,12.712,185.564,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.68,6.975,,,1,0,1.025,66.8322,,,0,0
0.235632,0.00460046,12.712,188.745,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,1,0,1.025,66.8322,,,0,0
0.240122,0.00454592,12.712,191.868,3,1.896,275.334,,,0,0,2.28,173.457,,,0,0,0.678,7.2,,,1,0,1.025,66.8322,,,0,0
0.244607,0.00448671,12.712,194.969,3,1.894,275.561,,,0,0,2.28,173.457,,,0,0,0.681,6.8625,,,1,0,1.025,66.8322,,,0,0
0.249426,0.00447679,12.712,197.81,3,1.894,275.561,,,0,0,2.28,173.457,,,0,0,0.681,6.8625,,,1,0,1.025,66.8322,,,0,0
0.262869,0.0136036,12.694,185.38,3,1.897,275.221,,,0,0,2.28,173.457,,,0,0,0.7,4.725,,,1,0,1.026,66.7198,,,0,0
0.267714,0.0046795,12.694,188.212,3,1.897,275.221,,,0,0,2.28,173.457,,,0,0,0.7,4.725,,,1,0,1.026,66.7198,,,0,0
0.272425,0.00482213,12.681,190.128,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.716,2.925,,,1,0,1.026,66.7198,,,0,0
0.277149,0.00472383,12.681,192.285,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.716,2.925,,,1,0,1.026,66.7198,,,0,0
0.28185,0.00474512,12.673,194.13,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.716,2.925,,,1,0,1.026,66.7198,,,0,0
0.286451,0.00465617,12.673,196.194,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.742,0,,,1,0,1.026,66.7198,,,0,0
0.291174,0.00463954,12.664,198.129,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.742,0,,,1,0,1.026,66.7198,,,0,0
0.295781,0.004697,12.664,199.606,3,1.898,275.107,,,0,0,2.283,173.12,,,0,0,0.777,356.063,,,1,0,1.028,66.4948,,,0,0
0.300518,0.00459404,12.655,201.413,3,1.898,275.107,,,0,0,2.283,173.12,,,0,0,0.777,356.063,,,1,0,1.028,66.4948,,,0,0
0.321433,0.0138454,12.655,188.494,3,1.898,275.107,,,0,0,2.282,173.232,,,0,0,0.858,346.95,,,1,0,1.028,66.4948,,,0,0
0.326068,0.0118055,12.655,178.115,3,1.898,275.107,,,0,0,2.282,173.232,,,0,0,0.909,341.212,,,1,0,1.028,66.4948,,,0,0
0.330892,0.00476058,12.664,181.31,3,1.898,275.107,,,0,0,2.282,173.232,,,0,0,0.909,341.212,,,1,0,1.028,66.4948,,,0,0
0.335383,0.00471596,12.664,184.383,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.953,336.263,,,1,0,1.026,66.7198,,,0,0
0.341987,0.00446513,12.668,188.341,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,0.953,336.263,,,1,0,1.026,66.7198,,,0,0
0.346528,0.00659371,12.668,184.673,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.007,330.188,,,1,0,1.026,66.7198,,,0,0
0.35125,0.00463662,12.673,187.773,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.007,330.188,,,1,0,1.026,66.7198,,,0,0
0.364532,0.0132495,12.677,176.543,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.125,316.913,,,1,0,1.026,66.7198,,,0,0
0.369358,0.00465908,12.677,180.352,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.125,316.913,,,1,0,1.026,66.7198,,,0,0
0.374107,0.00485012,12.677,182.935,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.183,310.388,,,1,0,1.026,66.7198,,,0,0
0.378773,0.00475563,12.677,185.669,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.183,310.388,,,1,0,1.026,66.7198,,,0,0
0.38359,0.00462758,12.677,188.712,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.247,303.188,,,1,0,1.026,66.7198,,,0,0
0.388717,0.00484867,12.677,190.465,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.247,303.188,,,1,0,1.026,66.7198,,,0,0
0.39336,0.00508696,12.677,191.076,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.311,295.987,,,1,0,1.026,66.7198,,,0,0
0.397864,0.00464421,12.677,193.501,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.311,295.987,,,1,0,1.026,66.7198,,,0,0
0.402511,0.00449546,12.677,196.396,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.371,289.237,,,1,0,1.026,66.7198,,,0,0
0.415927,0.0134674,12.677,184.181,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.433,282.263,,,1,0,1.026,66.7198,,,0,0
0.420685,0.00460163,12.677,187.495,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.433,282.263,,,1,0,1.026,66.7198,,,0,0
0.437029,0.0047565,12.673,189.769,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.494,275.4,,,1,0,1.026,66.7198,,,0,0
0.441951,0.0163255,12.677,176.918,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.557,268.313,,,1,0,1.026,66.7198,,,0,0
0.446572,0.00492596,12.677,179.526,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.62,261.225,,,1,0,1.026,66.7198,,,0,0
0.451461,0.00467337,12.673,182.972,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.62,261.225,,,1,0,1.026,66.7198,,,0,0
0.456196,0.00483613,12.673,185.352,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.681,254.363,,,1,0,1.026,66.7198,,,0,0
0.477666,0.0215804,12.673,171.451,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.805,240.413,,,1,0,1.026,66.7198,,,0,0
0.482236,0.00464888,12.677,175.816,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.865,233.663,,,1,0,1.026,66.7198,,,0,0
0.486911,0.00452375,12.677,180.34,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.865,233.663,,,1,0,1.026,66.7198,,,0,0
0.491758,0.00470371,12.673,183.566,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.865,233.663,,,1,0,1.026,66.7198,,,0,0
0.496358,0.00482475,12.673,185.936,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.927,226.688,,,1,0,1.026,66.7198,,,0,0
0.501082,0.00461213,12.677,189.024,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.927,226.688,,,1,0,1.026,66.7198,,,0,0
0.505721,0.00474483,12.677,191.197,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.986,220.05,,,1,0,1.026,66.7198,,,0,0
0.510333,0.00460308,12.677,193.802,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,1.986,220.05,,,1,0,1.026,66.7198,,,0,0
0.53144,0.0137719,12.677,181.683,3,1.898,275.107,,,0,0,2.282,173.232,,,0,0,2.108,206.325,,,1,0,1.026,66.7198,,,0,0
0.538613,0.0119478,12.677,171.885,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.172,199.125,,,1,0,1.026,66.7198,,,0,0
0.543299,0.00718783,12.677,168.608,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.231,192.488,,,1,0,1.026,66.7198,,,0,0
0.548031,0.00469788,12.677,173.034,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.231,192.488,,,1,0,1.026,66.7198,,,0,0
0.552683,0.00468475,12.677,177.076,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.291,185.738,,,1,0,1.026,66.7198,,,0,0
0.557233,0.00467979,12.677,180.737,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.291,185.738,,,1,0,1.026,66.7198,,,0,0
0.561802,0.00451558,12.677,184.809,3,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.291,185.738,,,1,0,1.026,66.7198,,,0,0
0.578644,0.013935,12.677,173.504,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.416,171.675,,,0,0,1.026,66.7198,,,0,0
0.5833,0.007469,12.677,169.543,0,1.897,275.221,,,0,0,2.28,173.457,,,0,0,2.478,164.7,,,0,0,1.026,66.7198,,,0,0
0.588043,0.00467921,12.677,173.959,0,1.897,275.221,,,0,0,2.28,173.457,,,0,0,2.478,164.7,,,0,0,1.026,66.7198,,,0,0
0.592734,0.00471567,12.677,177.769,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.538,157.95,,,0,0,1.026,66.7198,,,0,0
0.597585,0.00472383,12.677,181.162,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.538,157.95,,,0,0,1.026,66.7198,,,0,0
0.602344,0.00482475,12.677,183.772,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.599,151.087,,,0,0,1.026,66.7198,,,0,0
0.606937,0.00475417,12.677,186.429,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.599,151.087,,,0,0,1.026,66.7198,,,0,0
0.611778,0.00461038,12.681,189.476,0,1.897,275.221,,,0,0,2.282,173.232,,,0,0,2.599,151.087,,,0,0,1.026,66.7198,,,0,0
0.616309,0.00482592,12.681,191.25,0,1.898,275.107,,,0,0,2.282,173.232,,,0,0,2.659,144.337,,,0,0,1.026,66.7198,,,0,0
0.629485,0.0132487,12.703,179.673,0,1.896,275.334,,,0,0,2.279,173.569,,,0,0,2.693,140.512,,,0,0,1.025,66.8322,,,0,0
0.633898,0.00442079,12.703,184.326,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
0.638649,0.0044065,12.703,188.587,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
0.643098,0.00474542,12.707,190.801,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
0.647659,0.00444938,12.707,194.196,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
0.652107,0.00455846,12.712,196.714,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
0.65659,0.004452,12.712,199.504,0,1.896,275.334,,,0,0,2.28,173.457,,,0,0,2.705,139.163,,,0,0,1.025,66.8322,,,0,0
